"id","tabela","tabela_id","tipo","subtipo","valor","valido_ate","created_at","updated_at"
"1","post","1","impressions",NULL,"181","2021-05-12 17:34:15","2021-05-05 17:34:15","2021-05-05 17:34:15"
"2","post","1","reach",NULL,"140","2021-05-12 17:34:15","2021-05-05 17:34:15","2021-05-05 17:34:15"
"3","post","1","engagement",NULL,"15","2021-05-12 17:34:15","2021-05-05 17:34:15","2021-05-05 17:34:15"
"4","post","1","saved",NULL,"0","2021-05-12 17:34:15","2021-05-05 17:34:15","2021-05-05 17:34:15"
"5","post","2","impressions",NULL,"1084","2021-05-12 17:34:17","2021-05-05 17:34:17","2021-05-05 17:34:17"
"6","post","2","reach",NULL,"951","2021-05-12 17:34:17","2021-05-05 17:34:17","2021-05-05 17:34:17"
"7","post","2","engagement",NULL,"74","2021-05-12 17:34:17","2021-05-05 17:34:17","2021-05-05 17:34:17"
"8","post","2","saved",NULL,"0","2021-05-12 17:34:17","2021-05-05 17:34:17","2021-05-05 17:34:17"
"9","post","3","impressions",NULL,"3852","2021-05-12 17:34:18","2021-05-05 17:34:18","2021-05-05 17:34:18"
"10","post","3","reach",NULL,"3789","2021-05-12 17:34:18","2021-05-05 17:34:18","2021-05-05 17:34:18"
"11","post","3","engagement",NULL,"244","2021-05-12 17:34:18","2021-05-05 17:34:18","2021-05-05 17:34:18"
"12","post","3","saved",NULL,"1","2021-05-12 17:34:18","2021-05-05 17:34:18","2021-05-05 17:34:18"
"13","post","4","impressions",NULL,"2357","2021-05-12 17:34:19","2021-05-05 17:34:19","2021-05-05 17:34:19"
"14","post","4","reach",NULL,"2255","2021-05-12 17:34:19","2021-05-05 17:34:19","2021-05-05 17:34:19"
"15","post","4","engagement",NULL,"166","2021-05-12 17:34:19","2021-05-05 17:34:19","2021-05-05 17:34:19"
"16","post","4","saved",NULL,"3","2021-05-12 17:34:19","2021-05-05 17:34:19","2021-05-05 17:34:19"
"17","post","5","impressions",NULL,"2503","2021-05-12 17:34:20","2021-05-05 17:34:20","2021-05-05 17:34:20"
"18","post","5","reach",NULL,"2101","2021-05-12 17:34:20","2021-05-05 17:34:20","2021-05-05 17:34:20"
"19","post","5","engagement",NULL,"206","2021-05-12 17:34:20","2021-05-05 17:34:20","2021-05-05 17:34:20"
"20","post","5","saved",NULL,"2","2021-05-12 17:34:20","2021-05-05 17:34:20","2021-05-05 17:34:20"
"21","post","6","impressions",NULL,"4371","2021-05-12 17:34:21","2021-05-05 17:34:21","2021-05-05 17:34:21"
"22","post","6","reach",NULL,"3815","2021-05-12 17:34:21","2021-05-05 17:34:21","2021-05-05 17:34:21"
"23","post","6","engagement",NULL,"353","2021-05-12 17:34:21","2021-05-05 17:34:21","2021-05-05 17:34:21"
"24","post","6","saved",NULL,"2","2021-05-12 17:34:21","2021-05-05 17:34:21","2021-05-05 17:34:21"
"25","post","7","impressions",NULL,"2395","2021-05-12 17:34:22","2021-05-05 17:34:22","2021-05-05 17:34:22"
"26","post","7","reach",NULL,"2279","2021-05-12 17:34:22","2021-05-05 17:34:22","2021-05-05 17:34:22"
"27","post","7","engagement",NULL,"116","2021-05-12 17:34:22","2021-05-05 17:34:22","2021-05-05 17:34:22"
"28","post","7","saved",NULL,"7","2021-05-12 17:34:22","2021-05-05 17:34:22","2021-05-05 17:34:22"
"29","post","8","impressions",NULL,"1216","2021-05-12 17:34:23","2021-05-05 17:34:23","2021-05-05 17:34:23"
"30","post","8","reach",NULL,"1126","2021-05-12 17:34:23","2021-05-05 17:34:23","2021-05-05 17:34:23"
"31","post","8","engagement",NULL,"41","2021-05-12 17:34:23","2021-05-05 17:34:23","2021-05-05 17:34:23"
"32","post","8","saved",NULL,"1","2021-05-12 17:34:23","2021-05-05 17:34:23","2021-05-05 17:34:23"
"33","post","9","impressions",NULL,"1125","2021-05-12 17:34:24","2021-05-05 17:34:24","2021-05-05 17:34:24"
"34","post","9","reach",NULL,"1041","2021-05-12 17:34:24","2021-05-05 17:34:24","2021-05-05 17:34:24"
"35","post","9","engagement",NULL,"43","2021-05-12 17:34:24","2021-05-05 17:34:24","2021-05-05 17:34:24"
"36","post","9","saved",NULL,"6","2021-05-12 17:34:24","2021-05-05 17:34:24","2021-05-05 17:34:24"
"37","post","10","impressions",NULL,"5","2021-05-12 17:34:25","2021-05-05 17:34:25","2021-05-05 17:34:25"
"38","post","10","reach",NULL,"4","2021-05-12 17:34:25","2021-05-05 17:34:25","2021-05-05 17:34:25"
"39","post","10","engagement",NULL,"0","2021-05-12 17:34:25","2021-05-05 17:34:25","2021-05-05 17:34:25"
"40","post","10","saved",NULL,"0","2021-05-12 17:34:25","2021-05-05 17:34:25","2021-05-05 17:34:25"
"41","post","11","impressions",NULL,"5","2021-05-12 17:34:27","2021-05-05 17:34:27","2021-05-05 17:34:27"
"42","post","11","reach",NULL,"4","2021-05-12 17:34:27","2021-05-05 17:34:27","2021-05-05 17:34:27"
"43","post","11","engagement",NULL,"0","2021-05-12 17:34:27","2021-05-05 17:34:27","2021-05-05 17:34:27"
"44","post","11","saved",NULL,"0","2021-05-12 17:34:27","2021-05-05 17:34:27","2021-05-05 17:34:27"
"45","post","12","impressions",NULL,"6","2021-05-12 17:34:28","2021-05-05 17:34:28","2021-05-05 17:34:28"
"46","post","12","reach",NULL,"5","2021-05-12 17:34:28","2021-05-05 17:34:28","2021-05-05 17:34:28"
"47","post","12","engagement",NULL,"1","2021-05-12 17:34:28","2021-05-05 17:34:28","2021-05-05 17:34:28"
"48","post","12","saved",NULL,"0","2021-05-12 17:34:28","2021-05-05 17:34:28","2021-05-05 17:34:28"
